No.,w,name,rate,begin,end,index1,value1,index2,value2
86,257,orig_mp_outlier,2.787273096186699,67812,68326,68069,11.676374912549022,4107,4.18917505016771
87,309,orig_mp_outlier,1.9308850820183665,51213,51831,51522,14.114278101843626,57876,7.309745273442105
88,60,orig_np_outlier,2.110371263133175,53869,53989,53929,5.658667190494559,43294,2.6813609952655373
89,124,orig_np_outlier,2.1607871061557633,114164,114412,114288,3.1231733385512888,90722,1.4453868822401936
90,214,acc_p2p,3.6736741990652235,124760,125188,124974,1084.9930920560753,77898,295.34276401869135
91,257,orig_p2p_inv,1.5339010660094083,113881,114395,114138,2.047196110073927,119023,1.3346337357988185
92,50,acc_p2p,40.116128893397054,67944,68044,67994,12096.282937999998,20679,301.53166000000056
93,309,orig_np_novelty,1.7114286858517402,52070,52688,52379,3.8886079260557946,66974,2.272141374164545
94,124,orig_mp_novelty,3.0109224843689333,5386,5634,5510,8.034176382301444,8227,2.668343812904684
95,50,acc_std,2.9161381593902735,5523,5623,5573,6.735876107307406,2231,2.3098617895099283
96,149,orig_mp_novelty,4.203801507054787,16877,17175,17026,13.631035919962745,6519,3.24254984377527
97,214,orig_mp_outlier,2.0722404138277537,5756,6184,5970,4.703788142646821,8969,2.269904645840868
98,86,diff_p2p,1.7718782807840672,4104,4276,4190,22.82014677906976,1126,12.879071337209293
99,149,orig_np_outlier,3.7269668749796128,3406,3704,3555,4.246261950838026,2599,1.139334502633929
100,124,diff_p2p,2.111453917153527,17116,17364,17240,0.227573441766129,5943,0.10778044451612903
101,103,acc_std_inv,1.9314191816311759,17439,17645,17542,2.2769993020774146,22198,1.178925488435079
102,179,orig_mp_outlier,1.6304238870436796,19138,19496,19317,11.244534430793186,1804,6.896693872157395
103,179,orig_np_novelty,2.4651718144426273,4546,4904,4725,3.3267590837567167,5276,1.3495039429975364
104,124,orig_p2p_inv,1.8547642943220393,15917,16165,16041,2.8981006824950244,23839,1.5625169685263698
105,257,orig_np_novelty,1.4543074747525713,56742,57256,56999,1.7449008141816365,54324,1.1998156129112278
106,72,orig_mp_novelty,1.5622263338935705,31411,31555,31483,6.437263329857885,27940,4.12057023377282
107,72,orig_mp_outlier,1.1820655181656652,8754,8898,8826,2.1440239460877053,6311,1.8137945089666532
108,371,orig_np_novelty,1.1922608303593094,115894,116636,116265,1.7181514802012186,118405,1.441086913576975
109,214,acc_std_inv,4.856701657482132,51981,52409,52195,10.0,58222,2.059010560097759
110,214,orig_p2p_inv,7.18705884070132,56576,57004,56790,8.372001153310247,33989,1.1648716587512034
111,149,orig_np_outlier,3.6224025970554687,46589,46887,46738,5.740494662417863,67310,1.5847202260411697
112,50,orig_p2p_inv,4.172822602077427,5475,5575,5525,7.359293476628169,5873,1.76362481188737
113,50,acc_std,1.8007429280221101,5340,5440,5390,3.134503406101299,2407,1.740672339912592
114,72,orig_mp_novelty,1.4910719390364529,5639,5783,5711,5.587008752103254,5360,3.7469746467857488
115,72,orig_mp_novelty,1.9520091746416999,6453,6597,6525,7.312806900719502,5360,3.746297402552834
116,50,acc_std,3.9032220393143837,5520,5620,5570,6.794230640371768,2407,1.740672339912592
117,50,acc_p2p,1.9324937685880195,4801,4901,4851,27.290677000000006,2232,14.121999999999998
118,371,acc_p2p,2.6211601038758814,5682,6424,6053,37.20422369541779,2232,14.193800539083554
119,72,orig_np_outlier,3.8424367232502887,11841,11985,11913,7.6547901723666945,12094,1.9921707821623056
120,50,orig_np_outlier,3.2802243100128132,16005,16105,16055,5.508935430671805,25384,1.679438632856875
121,86,orig_mp_novelty,6.26744907361603,15937,16109,16023,8.03294842227922,23185,1.281693449428314
122,86,orig_mp_novelty,6.344636295187731,16935,17107,17021,8.474682967708558,28282,1.335723999520102
123,214,acc_p2p,100.82754375164893,16886,17314,17100,5357.523364485981,32369,53.13551401869159
124,149,orig_mp_outlier,4.6144405051347785,16878,17176,17027,13.35926141483596,6519,2.8950988532564823
125,149,orig_mp_outlier,4.619476489974713,16878,17176,17027,13.373661954932128,6519,2.89506007530419
126,86,orig_mp_novelty,5.402723076881146,16933,17105,17019,7.216580115373012,28282,1.335730151755059
127,179,orig_mp_outlier,4.654403825893276,6007,6365,6186,4.359590253232436,5526,0.9366592191634211
128,214,orig_mp_outlier,10.549923048416332,7133,7561,7347,12.1734260047307,5508,1.153887658598427
129,445,acc_p2p,6.892495627006605,5547,6437,5992,0.006614518955056174,3993,0.0009596696629213306
130,179,orig_mp_outlier,8.801744314836942,6389,6747,6568,8.24469839532647,5526,0.9367118721488569
131,149,acc_p2p,35.12550246277592,8567,8865,8716,0.03331123489932885,4009,0.0009483489932885734
132,60,orig_mp_outlier,8.277430039571572,4467,4587,4527,3.0632870580627922,6382,0.3700770702281096
133,50,acc_p2p,17.39068667043237,5556,5656,5606,39.53202200000001,4835,2.2731719999999953
134,149,orig_np_novelty,9.50028174978399,5601,5899,5750,9.527179207635138,4466,1.002831227384573
135,103,acc_p2p,23.158616948692877,4093,4299,4196,35.12883388349516,5461,1.5168796116504664
136,50,acc_std,33.824690381816524,3170,3270,3220,9.287438841013739,5460,0.27457572371472405
137,50,acc_std,16.041865637949893,4451,4551,4501,4.4047068672710505,5460,0.27457572371451183
138,50,orig_mp_outlier,19.608204998655783,4139,4239,4189,2.5825952876517353,6556,0.1317099289725287
139,257,orig_mp_outlier,23.90924119532257,5592,6106,5849,9.500711616536318,5280,0.39736566873544144
140,86,orig_mp_outlier,7.831535950936999,4674,4846,4760,2.394558358269912,4507,0.3057584582732352
141,179,orig_mp_novelty,20.548955070258014,6052,6410,6231,8.604878288000434,5019,0.41875016313870356
142,124,orig_mp_novelty,10.923160112767272,3432,3680,3556,6.081750700447179,3947,0.556775753322399
143,50,acc_std_inv,5.1454048221431385,5875,5975,5925,9.560101265534321,964,1.8579881653611843
144,50,acc_std_inv,4.597176381119338,6591,6691,6641,6.532922526509776,7027,1.421072846658782
145,445,diff_p2p,2.210907662642801,16795,17685,17240,0.23205259550561796,5943,0.10495806741573037
146,50,orig_mp_outlier,1.3130999974916762,27851,27951,27901,4.378089046180365,23418,3.3341627100323854
147,50,acc_std,4.012605628175566,16351,16451,16401,0.07044135132980461,4796,0.017555014835044375
148,149,acc_std_inv,2.5890820196052844,17374,17672,17523,2.912920389464537,22762,1.1250784515156544
149,50,orig_mp_outlier,1.8345635244324252,17371,17471,17421,6.114378623521426,23294,3.332879206465791
150,103,acc_std_inv,8.636616523342118,12190,12396,12293,10.0,22549,1.1578608327662894
151,179,orig_mp_outlier,1.8441168443451947,19138,19496,19317,11.139847839779405,1805,6.040749464405505
152,149,acc_std_inv,6.07248057287965,18483,18781,18632,10.0,14104,1.6467734857252692
153,179,diff_small,3.0782749763417607,23359,23717,23538,0.7106519771542712,22931,0.23086046003557942
154,60,orig_np_novelty,1.79075644140078,23373,23493,23433,3.671539265894886,21716,2.0502728238257264
155,60,orig_np_novelty,2.378616439678334,23975,24095,24035,4.875273142169945,21716,2.0496255978241034
156,309,orig_mp_novelty,5.538231474041255,5763,6381,6072,12.286064892316224,5301,2.218409423640624
157,50,orig_mp_novelty,1.7643017451437286,5330,5430,5380,0.7137503386476829,9413,0.4045511719365994
158,72,diff_small,3.6287262872628725,5964,6108,6036,0.7748842592592592,9470,0.21354166666666666
159,309,orig_mp_novelty,4.739696259933793,9025,9643,9334,10.514586848231348,5301,2.218409423640624
160,86,orig_mp_outlier,4.030268403087203,4717,4889,4803,3.3292847193544715,5300,0.8260702232149663
161,103,acc_std_inv,5.235095275474313,2767,2973,2870,10.0,3786,1.9101849104539887
162,179,acc_p2p,3.6802393471872326,5740,6098,5919,20.085919207734637,4294,5.457775245810056
163,149,orig_np_outlier,3.191683802574403,20884,21182,21033,8.923376832702967,31283,2.79582107272199
164,50,orig_mp_outlier,3.7579695301680047,11132,11232,11182,3.9544944180407704,31539,1.052295497953114
165,124,orig_p2p_inv,2.2343881714304232,15917,16165,16041,3.3529705887993284,23830,1.5006213475668397
166,60,orig_mp_outlier,5.351029901485661,12208,12328,12268,8.08785901161026,31661,1.5114583847428595
167,149,orig_np_novelty,1.6433913732127667,55746,56044,55895,5.075768332260347,51263,3.0885937549601565
168,124,orig_mp_outlier,1.7362550793367626,46583,46831,46707,1.7015038738186712,55889,0.9799849653822951
169,445,diff_small,2.632497166231334,59772,60662,60217,0.8092311576821108,18370,0.30740058073475574
170,72,orig_mp_outlier,3.1418281112698043,33088,33232,33160,3.5069742228294682,43879,1.1162209066275386
